Monday | December | 19/12/22 | 13:32:05 |:INFO:core.static.logs.log_generator, arguments: ((), {})
Monday | December | 19/12/22 | 13:33:18 |:INFO:run_single_test, arguments: ((IntroPage(driver=<selenium.webdriver.chrome.webdriver.WebDriver (session="eebc871155a488dc4cc4bb9b29cbc74d")>), ['setup', 'exit_all']), {})
Monday | December | 19/12/22 | 13:33:18 |:INFO:run_single_test returned None
Monday | December | 19/12/22 | 13:33:18 |:ERROR:run_single_test returned None
Monday | December | 19/12/22 | 13:33:18 |:CRITICAL:run_single_test returned None
Wednesday | December | 21/12/22 | 11:37:55 |:INFO:run_single_test, arguments: ((IntroPage(driver=<selenium.webdriver.chrome.webdriver.WebDriver (session="7a5d930ef2b5b517cb3e041027b32ce5")>), ['setup', 'exit_all']), {})
Wednesday | December | 21/12/22 | 11:37:55 |:INFO:run_single_test returned None
Wednesday | December | 21/12/22 | 11:37:55 |:ERROR:run_single_test returned None
Wednesday | December | 21/12/22 | 11:37:55 |:CRITICAL:run_single_test returned None
Wednesday | December | 21/12/22 | 11:40:06 |:INFO:run_single_test, arguments: ((IntroPage(driver=<selenium.webdriver.chrome.webdriver.WebDriver (session="cb1295dce45239fc811c32ffc0faa96d")>), ['setup', 'exit_all']), {})
Wednesday | December | 21/12/22 | 11:40:06 |:INFO:run_single_test returned None
Wednesday | December | 21/12/22 | 11:40:06 |:ERROR:run_single_test returned None
Wednesday | December | 21/12/22 | 11:40:06 |:CRITICAL:run_single_test returned None
